Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,GP,LapTimeSeconds
7,10,6.0,2.0,206.0,205.0,273.5594525235244,294.0,0,3,3.0,1,0,0,9.52425215480818,25.2,48.3,1002.5,0,44.5,172,0.6,2021,8,108.774
18,18,9.0,3.0,210.0,181.0,273.5594525235244,296.0,0,3,3.0,1,2,0,9.52425215480818,25.2,48.3,1002.5,0,44.5,172,0.6,2021,8,101.754
13,4,9.0,3.0,201.0,202.0,273.5594525235244,270.0,0,3,3.0,1,6,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,101.798
20,33,8.0,2.0,217.0,197.0,273.5594525235244,275.0,0,3,3.0,1,10,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,97.948
14,31,5.0,2.0,284.0,301.0,282.0,312.0,1,3,2.0,1,1,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,78.041
1,14,8.0,3.0,284.0,302.0,282.0,314.0,1,3,2.0,1,1,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,77.966
17,55,5.0,2.0,285.0,302.0,279.0,311.0,1,3,2.0,1,3,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,77.847
12,16,8.0,3.0,285.0,303.0,281.0,312.0,1,3,2.0,1,3,0,9.52425215480818,24.9,48.3,1002.5,0,44.5,172,0.6,2021,8,77.919
14,31,6.0,2.0,231.0,212.0,273.5594525235244,288.0,0,3,3.0,1,1,0,9.52425215480818,24.8,47.2,1002.3,0,44.9,119,0.7,2021,8,108.106
1,14,9.0,3.0,186.0,180.0,273.5594525235244,242.0,0,3,3.0,1,1,0,9.52425215480818,24.8,47.2,1002.3,0,44.9,119,0.7,2021,8,105.819
17,55,6.0,2.0,201.0,204.0,273.5594525235244,284.0,0,3,3.0,1,3,0,9.52425215480818,24.8,47.2,1002.3,0,44.9,119,0.7,2021,8,102.992
12,16,9.0,3.0,216.0,224.0,273.5594525235244,288.0,0,3,3.0,1,3,0,9.52425215480818,24.8,47.2,1002.3,0,44.9,119,0.7,2021,8,98.467
16,63,10.0,4.0,286.0,299.0,284.0,312.0,1,3,4.0,0,11,0,9.52425215480818,25.0,46.4,1002.4,0,44.9,202,0.5,2021,8,79.154
16,63,11.0,4.0,136.0,219.0,273.5594525235244,161.0,0,3,5.0,0,11,0,9.52425215480818,24.9,48.1,1002.4,0,44.1,181,0.7,2021,8,113.5
